drugid,smiles
DR5606457a,O=C(NCCc1c[nH]c2ccccc12)C1CCN(C(=O)c2ccc(-c3ccccc3)cc2)CC1
DR7a724043,CCn1c(=O)cc(N[C@H]2CC[C@H](C(=O)NC)CC2)c2cc(-c3cncs3)ccc21
DR13cecbfe,Cc1cc(OCC2CCCN(C(=N)N)C2)cc(OS(=O)(=O)c2ccccc2Cl)c1
DR6f9c6129,c1ccc(CNc2nnc(-c3nc4ccncc4s3)o2)cc1
DR03d3f7d8,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC4(O)CCCC4)nc32)[C@H](O)[C@@H]1O
DRe323569c,CCN(C(=O)Cc1ccc(S(N)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1
DRcb5c6c9d,CCCCCCCCc1cccc2c1CC[C@@H](CO)NC(=O)[C@H](C(C)C)N2C
DRacaff4d7,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N
DR26d07628,Cc1cccc(C)c1C(=O)N1CCC(N2CCN([C@@H](C)c3ccc(S(=O)(=O)c4ccc5c(c4)OCO5)cc3)[C@H](C)C2)CC1
DRd5f48965,Nc1nc(O)c2c(n1)CCc1c(Cl)cccc1-2
DR18d78472,C[C@H](NCc1ccc(OCc2ccccc2F)cc1)C(N)=O
DRd0600bb2,Cl.Cn1cc2c(OCC3CCN(CCN4CCOCC4)CC3)nc3ccccc3c2c1
DR8d37869e,Br
DR453bc6fb,FC(F)(F)Oc1cccc(-n2nnc3ccc(NC4CC5(CCNCC5)C4)nc32)c1
DRbe6cf995,CC(C)CC(NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)NO
DR1a66a061,Cc1c(CC(=O)c2ccccc2)oc(=O)c(C)c1O
DRe199451b,NNS(=O)(=O)c1cc(C(=O)O)cc(C(=O)O)c1
DR37e0e93f,N#Cc1ccc(C(=O)NCCC(c2ccc(F)cc2)c2ccc(F)cc2)cc1
DRf8afdb57,CC(C)(CCCCC(=O)NO)Nc1c(Nc2ccc(C(F)(F)F)cc2)c(=O)c1=O
DRdaf5b01f,N#Cc1c(Oc2ccc(F)c(NC(=O)Cc3cccc(C(F)(F)F)c3)c2)ccc2nc(NC(=O)C3CC3)sc12
