dataset,mode,models_mode,strategy,subset,subset_name,n,AUC,PRC,MCC,Accuracy,Precision,F1,False_Positive,Recall,timestamp
toy_dataset-test,4,all,average,all,Overall,15,0.8392857142857143,0.9047847985347984,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,2026-06-04 01:50:42
toy_dataset-test,4,all,vote-all-1,all,Overall,15,-1.0,-1.0,0.25,0.5333333333333333,1.0,0.2222222222222222,0.0,0.125,2026-06-04 01:50:42
toy_dataset-test,4,all,weighted_logistic_balanced,all,Overall,15,0.8035714285714285,0.8899173742923743,0.25,0.5333333333333333,1.0,0.2222222222222222,0.0,0.125,2026-06-04 01:50:42
toy_dataset-test,4,all,meta_full_esm2_xmol_prob_attention-32-0.001,all,Overall,15,0.7857142857142857,0.8619869713619714,0.25,0.5333333333333333,1.0,0.2222222222222222,0.0,0.125,2026-06-04 01:50:42
toy_dataset-test,4,all,base_TransformerCPI,all,Overall,15,0.7142857142857143,0.8352163461538461,0.4677071733467426,0.6666666666666666,1.0,0.5454545454545454,0.0,0.375,2026-06-04 01:50:42
toy_dataset-test,4,all,base_DeepConv-DTI,all,Overall,15,0.6071428571428572,0.6977434024309025,0.25,0.5333333333333333,1.0,0.2222222222222222,0.0,0.125,2026-06-04 01:50:42
toy_dataset-test,4,all,base_ConPLex,all,Overall,15,0.5714285714285714,0.5328869047619047,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,2026-06-04 01:50:42
toy_dataset-test,4,all,base_DrugBAN,all,Overall,15,0.8214285714285714,0.8073412698412699,0.1336306209562122,0.5333333333333333,0.6666666666666666,0.3636363636363636,0.1428571428571428,0.25,2026-06-04 01:50:42
toy_dataset-test,4,all,average,all,Overall,15,0.8392857142857143,0.9047847985347985,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,2026-06-04 02:01:35
toy_dataset-test,4,all,vote-all-1,all,Overall,15,-1.0,-1.0,0.25,0.5333333333333333,1.0,0.2222222222222222,0.0,0.125,2026-06-04 02:01:35
toy_dataset-test,4,all,weighted_logistic_balanced,all,Overall,15,0.8035714285714285,0.8899173742923743,0.25,0.5333333333333333,1.0,0.2222222222222222,0.0,0.125,2026-06-04 02:01:35
toy_dataset-test,4,all,meta_full_esm2_xmol_prob_attention-32-0.001,all,Overall,15,0.7857142857142857,0.8619869713619714,0.25,0.5333333333333333,1.0,0.2222222222222222,0.0,0.125,2026-06-04 02:01:35
toy_dataset-test,4,all,base_TransformerCPI,all,Overall,15,0.7142857142857143,0.8352163461538461,0.46770717334674267,0.6666666666666666,1.0,0.5454545454545454,0.0,0.375,2026-06-04 02:01:35
toy_dataset-test,4,all,base_DeepConv-DTI,all,Overall,15,0.6071428571428572,0.6977434024309025,0.25,0.5333333333333333,1.0,0.2222222222222222,0.0,0.125,2026-06-04 02:01:35
toy_dataset-test,4,all,base_ConPLex,all,Overall,15,0.5714285714285714,0.5328869047619047,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,2026-06-04 02:01:35
toy_dataset-test,4,all,base_DrugBAN,all,Overall,15,0.8214285714285714,0.8073412698412699,0.1336306209562122,0.5333333333333333,0.6666666666666666,0.36363636363636365,0.14285714285714285,0.25,2026-06-04 02:01:35
